chimi-look,GAN,107.07776541303295,171.71206925266472,27.833810614732556,0.9604828123070271,0.9900273142600595,0.7533860524641139
chimi-mad,GAN,106.45779206031976,153.13348246729652,27.859029062260195,0.9795752558868915,0.9876604692298597,0.6882130993662992
chimi,GAN,104.37503560384114,167.97677103678384,27.944837242320688,0.9682601371700411,0.9973960560503214,0.7165628989658956
input,GAN,108.61242581153101,168.6497925750969,27.772008472847133,0.8650689575263931,0.9105707337077039,0.7414249219755441
matt1,GAN,106.03295709181202,166.91410413638565,27.87639487504162,0.8730759569365996,0.9347440640649223,0.6526532785722265
matt2,GAN,109.31548267926357,162.93700793362405,27.743986841334532,0.9650859266202403,0.9619158827164285,0.7028555836255187
matt3,GAN,107.61470067223837,172.95077443677326,27.81208758824318,0.9571362296127216,0.9749627057454325,0.6933777538897573
matt4,GAN,104.84931413517442,160.86352349806202,27.925147669657687,0.9914094517743849,0.989319444589135,0.7217361386285236
matt5,GAN,102.00739235101744,136.50811152495154,28.04448715175371,0.9997873997406413,0.9867807403598083,0.6664720187209899
me-catten-cropped,GAN,106.50876933396465,174.52342763573233,27.856949942521926,0.9687476411305048,0.9980093409964171,0.7903015835737047
nimmy-attack,GAN,111.6976933442345,184.63037866400194,27.65036156223333,0.9496182471167163,0.9589513491135443,0.7967382167175527
